time,group,numsprays,area,numcolonies,avgarea
312041.0,B,0,32640.0,2,16320.0
312041.0,B,3,14634.5,96,152.44270833333334
312041.0,A,3,13072.5,91,143.65384615384616
312041.0,B,9,6976.5,31,225.0483870967742
312041.0,A,9,8469.5,44,192.48863636363637
313843.0,B,6,13900.5,69,201.45652173913044
313843.0,A,6,0,0,0
313843.0,A,0,26215.0,1,26215.0
313843.0,B,0,33134.0,2,16567.0
313843.0,B,3,16116.5,99,162.7929292929293
313843.0,A,3,14567.0,101,144.22772277227722
313843.0,B,9,7944.0,39,203.69230769230768
313843.0,A,9,8470.5,47,180.22340425531914
315644.0,B,6,13958.0,72,193.86111111111111
315644.0,A,6,0,0,0
315644.0,A,0,25923.0,1,25923.0
315644.0,B,0,33902.5,1,33902.5
315644.0,B,3,15552.0,93,167.2258064516129
315644.0,A,3,11954.0,93,128.53763440860214
315644.0,B,9,7474.5,30,249.15
315644.0,A,9,9053.5,51,177.51960784313727
317445.0,B,6,7837.5,15,522.5
317445.0,A,6,0,0,0
317445.0,A,0,25948.5,1,25948.5
317445.0,B,0,33420.0,2,16710.0
317445.0,B,3,14578.5,89,163.80337078651687
317445.0,A,3,9240.0,87,106.20689655172414
317445.0,B,9,6960.5,38,183.17105263157896
317445.0,A,9,8094.5,54,149.89814814814815
319247.0,B,6,8426.5,9,936.2777777777778
319247.0,A,6,0,0,0
319247.0,A,0,26976.5,1,26976.5
319247.0,B,0,32429.5,1,32429.5
319247.0,B,3,16441.5,82,200.5060975609756
319247.0,A,3,14133.5,93,151.9731182795699
319247.0,B,9,7023.0,33,212.8181818181818
319247.0,A,9,8699.5,54,161.10185185185185
321048.0,B,6,8859.0,15,590.6
321048.0,A,6,0,0,0
321048.0,A,0,26939.5,1,26939.5
321048.0,B,0,34236.0,1,34236.0
321048.0,B,3,15701.0,89,176.41573033707866
321048.0,A,3,8691.0,84,103.46428571428571
321048.0,B,9,7036.0,35,201.02857142857144
321048.0,A,9,8326.5,53,157.10377358490567
322849.0,B,6,7115.0,12,592.9166666666666
322849.0,A,6,0,0,0
322849.0,A,0,26852.5,1,26852.5
322849.0,B,0,34386.5,1,34386.5
322849.0,B,3,15288.0,92,166.17391304347825
322849.0,A,3,9385.5,89,105.45505617977528
322849.0,B,9,7018.5,33,212.6818181818182
322849.0,A,9,8871.0,53,167.37735849056602
324651.0,B,6,8010.5,8,1001.3125
324651.0,A,6,0,0,0
324651.0,A,0,24270.5,1,24270.5
324651.0,B,0,31771.5,1,31771.5
324651.0,B,3,14162.5,92,153.94021739130434
324651.0,A,3,14435.5,100,144.355
324651.0,B,9,7060.5,33,213.95454545454547
324651.0,A,9,9019.5,51,176.85294117647058
326452.0,B,6,1778.5,3,592.8333333333334
326452.0,A,6,0,0,0
326452.0,A,0,15604.5,6,2600.75
326452.0,B,0,27046.0,1,27046.0
326452.0,B,3,10018.0,76,131.81578947368422
326452.0,A,3,11374.0,79,143.9746835443038
326452.0,B,9,5952.0,26,228.92307692307693
326452.0,A,9,7716.5,48,160.76041666666666
328253.0,B,6,368.5,1,368.5
328253.0,A,6,0,0,0
328253.0,A,0,2268.5,3,756.1666666666666
328253.0,B,0,20004.5,5,4000.9
328253.0,B,3,7210.0,71,101.54929577464789
328253.0,A,3,9035.5,87,103.85632183908046
328253.0,B,9,4876.5,25,195.06
328253.0,A,9,6441.5,41,157.109756097561
330055.0,B,6,805.0,3,268.3333333333333
330055.0,A,6,0,0,0
330055.0,A,0,2573.5,8,321.6875
330055.0,B,0,19474.0,7,2782.0
330055.0,B,3,6481.0,69,93.92753623188406
330055.0,A,3,5663.0,67,84.5223880597015
330055.0,B,9,4635.5,28,165.55357142857142
330055.0,A,9,7326.0,41,178.6829268292683
331856.0,B,6,1471.5,5,294.3
331856.0,A,6,0,0,0
331856.0,A,0,4488.5,5,897.7
331856.0,B,0,22269.0,5,4453.8
331856.0,B,3,9512.0,88,108.0909090909091
331856.0,A,3,10731.0,75,143.08
331856.0,B,9,5171.5,22,235.0681818181818
331856.0,A,9,8267.0,52,158.98076923076923
333657.0,B,6,7893.5,8,986.6875
333657.0,A,6,0,0,0
333657.0,A,0,18498.5,4,4624.625
333657.0,B,0,26911.5,1,26911.5
333657.0,B,3,11538.0,86,134.1627906976744
333657.0,A,3,11765.0,88,133.6931818181818
333657.0,B,9,7243.0,39,185.71794871794873
333657.0,A,9,9332.0,56,166.64285714285714
335458.0,B,6,10147.5,13,780.5769230769231
335458.0,A,6,265.5,1,265.5
335458.0,A,0,26026.0,1,26026.0
335458.0,B,0,32668.5,1,32668.5
335458.0,B,3,14944.0,85,175.81176470588235
335458.0,A,3,14103.5,90,156.70555555555555
335458.0,B,9,2211.5,6,368.5833333333333
335458.0,A,9,9410.0,48,196.04166666666666
337260.0,B,6,10030.0,14,716.4285714285714
337260.0,A,6,282.5,1,282.5
337260.0,A,0,27279.5,1,27279.5
337260.0,B,0,35906.0,1,35906.0
337260.0,B,3,16521.5,90,183.57222222222222
337260.0,A,3,9298.5,83,112.03012048192771
337260.0,B,9,2365.5,5,473.1
337260.0,A,9,9477.5,51,185.83333333333334
339061.0,B,6,9858.5,14,704.1785714285714
339061.0,A,6,0,0,0
339061.0,A,0,27417.5,1,27417.5
339061.0,B,0,36470.0,1,36470.0
339061.0,B,3,14784.0,79,187.13924050632912
339061.0,A,3,12534.5,86,145.75
339061.0,B,9,2772.5,6,462.0833333333333
339061.0,A,9,9339.0,49,190.59183673469389
340862.0,B,6,9674.5,10,967.45
340862.0,A,6,0,0,0
340862.0,A,0,28956.0,1,28956.0
340862.0,B,0,35739.0,1,35739.0
340862.0,B,3,17265.0,80,215.8125
340862.0,A,3,13714.0,93,147.46236559139786
340862.0,B,9,2776.0,4,694.0
340862.0,A,9,9890.5,48,206.05208333333334
342664.0,B,6,11777.0,9,1308.5555555555557
342664.0,A,6,380.5,1,380.5
342664.0,A,0,27607.0,1,27607.0
342664.0,B,0,36619.5,2,18309.75
342664.0,B,3,16854.0,86,195.97674418604652
342664.0,A,3,12208.5,92,132.70108695652175
342664.0,B,9,2211.5,6,368.5833333333333
342664.0,A,9,10393.5,58,179.19827586206895
344465.0,B,6,13057.5,13,1004.4230769230769
344465.0,A,6,558.5,2,279.25
344465.0,A,0,28066.0,1,28066.0
344465.0,B,0,35195.5,2,17597.75
